         83757 function calls (80757 primitive calls) in 0.412 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.007    0.007 linecache.py:6(<module>)
      269    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
        1    0.000    0.000    0.006    0.006 signals.py:1(<module>)
       12    0.004    0.000    0.006    0.001 __init__.py:316(namedtuple)
      491    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.000    0.000    0.006    0.006 case.py:1(<module>)
     3209    0.006    0.000    0.006    0.000 {built-in method builtins.hasattr}
      279    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      305    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
        1    0.000    0.000    0.005    0.005 pickle.py:24(<module>)
       34    0.001    0.000    0.005    0.000 sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.005    0.005 signal.py:1(<module>)
        1    0.000    0.000    0.005    0.005 linalg.py:10(<module>)
        1    0.000    0.000    0.005    0.005 tokenize.py:21(<module>)
        1    0.000    0.000    0.005    0.005 npyio.py:1(<module>)
     2312    0.004    0.000    0.004    0.000 {built-in method builtins.getattr}
     5727    0.004    0.000    0.004    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000    0.004    0.002 encoder.py:2(<module>)
        1    0.000    0.000    0.004    0.004 financial.py:12(<module>)
       53    0.001    0.000    0.004    0.000 typing.py:600(__init__)
      195    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
        1    0.000    0.000    0.004    0.004 __init__.py:86(<module>)
      423    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
        1    0.000    0.000    0.004    0.004 string.py:15(<module>)
      491    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:78(acquire)
      213    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:318(__exit__)
     2567    0.003    0.000    0.004    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.004    0.004 string.py:65(__init__)
        2    0.000    0.000    0.003    0.002 scanner.py:2(<module>)
      491    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:103(release)
     1090    0.002    0.000    0.003    0.000 sre_parse.py:164(__getitem__)
        1    0.000    0.000    0.003    0.003 decimal.py:2(<module>)
      915    0.002    0.000    0.003    0.000 sre_parse.py:254(get)
      180    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
     4318    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
       38    0.000    0.000    0.003    0.000 typing.py:1190(_alias)
        1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap_external>:785(source_to_code)
        1    0.003    0.003    0.003    0.003 {built-in method builtins.compile}
        1    0.000    0.000    0.003    0.003 polynomial.py:57(<module>)
        1    0.000    0.000    0.003    0.003 getlimits.py:96(_register_known_types)
      384    0.001    0.000    0.003    0.000 typing.py:701(__setattr__)
      317    0.003    0.000    0.003    0.000 overrides.py:111(array_function_dispatch)
3102/2899    0.002    0.000    0.003    0.000 {built-in method builtins.len}
     2078    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        1    0.000    0.000    0.003    0.003 bz2.py:5(<module>)
       15    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
        1    0.000    0.000    0.003    0.003 ntpath.py:6(<module>)
      122    0.001    0.000    0.003    0.000 enum.py:70(__setitem__)
      195    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
       26    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
      222    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
        1    0.000    0.000    0.002    0.002 parse.py:28(<module>)
        4    0.000    0.000    0.002    0.001 warnings.py:130(filterwarnings)
       15    0.002    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.002    0.002 histograms.py:3(<module>)
        1    0.000    0.000    0.002    0.002 _type_aliases.py:24(<module>)
       26    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
      180    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
       44    0.000    0.000    0.002    0.000 core.py:146(get_object_signature)
     3450    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
       18    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:740(create_module)
        1    0.000    0.000    0.002    0.002 loader.py:1(<module>)
        1    0.000    0.000    0.002    0.002 messages.py:1(<module>)
        6    0.000    0.000    0.002    0.000 getlimits.py:37(__init__)
        1    0.000    0.000    0.002    0.002 random.py:38(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:11(<module>)
   212/64    0.002    0.000    0.002    0.000 sre_parse.py:174(getwidth)
     1770    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
       18    0.002    0.000    0.002    0.000 {built-in method _imp.create_builtin}
    22/18    0.000    0.000    0.002    0.000 typing.py:245(inner)
     1194    0.002    0.000    0.002    0.000 sre_parse.py:233(__next)
        1    0.000    0.000    0.002    0.002 datetime.py:5(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:10(<module>)
      360    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
       26    0.000    0.000    0.002    0.000 core.py:6567(__init__)
        1    0.000    0.000    0.002    0.002 fftpack.py:32(<module>)
       26    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
      228    0.001    0.000    0.002    0.000 {built-in method builtins.any}
       53    0.001    0.000    0.002    0.000 core.py:892(__init__)
       26    0.000    0.000    0.002    0.000 core.py:6572(getdoc)
      169    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x3cc514}
     1987    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
       26    0.000    0.000    0.002    0.000 abc.py:125(__new__)
      180    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
      539    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      221    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:176(cb)
        8    0.001    0.000    0.002    0.000 enum.py:177(<setcomp>)
        1    0.000    0.000    0.002    0.002 fromnumeric.py:3(<module>)
       26    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
